Dates,beta_1,beta_2,beta_3,beta_4,beta_5
05-Jan-1996,0.132395843,-0.027933872,0.18615691,-0.046570634,0.000361053
08-Jan-1996,0.130291994,-0.02984891,0.179323251,-0.045143173,-0.002581168
09-Jan-1996,0.129752797,0.022016271,0.180598134,-0.046478129,-0.002037483
10-Jan-1996,0.133553481,0.001382206,0.180935722,-0.046190511,-0.001642939
11-Jan-1996,0.133404858,-0.01978298,0.180733179,-0.044871157,-0.001608846
12-Jan-1996,0.134833436,-0.024412259,0.178947937,-0.045214704,-0.002317481
15-Jan-1996,0.134158914,-0.011243013,0.175189228,-0.043701438,-0.002371531
16-Jan-1996,0.134388019,-0.025017935,0.173100804,-0.04392194,-0.003009759
17-Jan-1996,0.134693749,-0.022760797,0.171989787,-0.044123873,-0.004056012
18-Jan-1996,0.134635594,-0.026971242,0.171357577,-0.04456616,-0.004074907
19-Jan-1996,0.134174165,-0.04021103,0.171492739,-0.044833569,-0.004061707
22-Jan-1996,0.132080617,-0.027115702,0.174332636,-0.044945294,-0.003667876
23-Jan-1996,0.130846118,-0.023677509,0.171411207,-0.044914302,-0.005492881
24-Jan-1996,0.132259536,-0.039809074,0.169249247,-0.045125485,-0.007703117
25-Jan-1996,0.128569687,-0.028155836,0.16749493,-0.045210985,-0.00892188
26-Jan-1996,0.130347669,-0.044454452,0.165346671,-0.04618678,-0.010684357
29-Jan-1996,0.128159167,-0.037096501,0.164055677,-0.046965469,-0.011785958
30-Jan-1996,0.125364431,-0.031880636,0.163551156,-0.04847864,-0.012440304
31-Jan-1996,0.121338209,-0.023719027,0.16347669,-0.050300766,-0.01274909
01-feb-96,0.11854446,-0.01675736,0.165319742,-0.053445235,-0.012776641
02-feb-96,0.121933881,-0.013580265,0.164591465,-0.055309634,-0.013020891
05-feb-96,0.119093569,-0.003389109,0.166449881,-0.056809715,-0.012800286
06-feb-96,0.121694269,0.010551067,0.163163784,-0.056005984,-0.013597522
07-feb-96,0.127183154,-0.008782422,0.16363086,-0.05670448,-0.013701196
08-feb-96,0.129388606,-0.009951923,0.159682638,-0.055147532,-0.013863365
09-feb-96,0.130440829,-0.001355058,0.154869654,-0.054217797,-0.01448117
12-feb-96,0.130825094,-0.000221618,0.149899893,-0.052867376,-0.015196864
13-feb-96,0.132053493,0.002249899,0.149481712,-0.051814693,-0.015455917
14-feb-96,0.131182107,0.01244564,0.150384508,-0.050063562,-0.016863263
15-feb-96,0.135795795,0.012372981,0.148033953,-0.047732751,-0.018991273
16-feb-96,0.139816821,-0.00413184,0.146645856,-0.047225558,-0.019511015
20-feb-96,0.141914127,0.004971411,0.146686716,-0.04687058,-0.014823031
21-feb-96,0.139810506,-0.019819534,0.1435697,-0.046402106,-0.017074405
22-feb-96,0.136158424,-0.013722525,0.145086786,-0.048422014,-0.021743252
23-feb-96,0.137329557,-0.012172497,0.149237323,-0.050538938,-0.023762938
26-feb-96,0.138607263,0.011096347,0.151171893,-0.047901624,-0.022808697
27-feb-96,0.138879485,0.01256665,0.151238263,-0.04025341,-0.022141571
28-feb-96,0.136883256,0.022286605,0.157483002,-0.036226525,-0.018179057
29-feb-96,0.139937398,0.026822671,0.161020887,-0.033000459,-0.01568698
01-mar-96,0.142183891,0.013902623,0.151757102,-0.031406225,-0.021519039
04-mar-96,0.139696781,0.018440534,0.151326395,-0.02965683,-0.021790685
05-mar-96,0.14229362,0.002467887,0.146715475,-0.03056155,-0.025273097
