Date,beta_1,beta_2,beta_3,beta_4,beta_5,SP500
05-Jan-1996,0.001037193,0.144612099,0.002724588,0.002365981,0.002655988,0.013834685
08-Jan-1996,0.001309512,0.144612099,0.002610542,0.002333989,0.002439059,0.01395881
09-Jan-1996,0.001225957,0.123038229,0.003624997,0.00210716,0.002352838,0.011700461
10-Jan-1996,0.001107157,0.254142192,0.003274328,0.00201287,0.002141003,0.02217983
11-Jan-1996,0.001409609,0.194319552,0.002955823,0.001830859,0.001948313,0.037449649
12-Jan-1996,0.001166253,0.139107831,0.002687515,0.001681107,0.001768029,0.027686435
15-Jan-1996,0.001049647,0.113543201,0.002562408,0.001574131,0.00160869,0.025983116
16-Jan-1996,0.000945885,0.123924517,0.002754938,0.001472981,0.001467174,0.026162037
17-Jan-1996,0.000832399,0.094601509,0.002660574,0.00139012,0.001343939,0.015995787
18-Jan-1996,0.000758212,0.085862557,0.002477448,0.001319159,0.001248025,0.017130994
19-Jan-1996,0.000699061,0.072337209,0.002284226,0.00127112,0.001149443,0.014229573
22-Jan-1996,0.000646484,0.054303002,0.002085498,0.001221854,0.001062993,0.010600761
23-Jan-1996,0.000771145,0.06447392,0.002035426,0.001173731,0.000995002,0.009257282
24-Jan-1996,0.000763162,0.064194479,0.00213601,0.001128274,0.000990362,0.009688986
25-Jan-1996,0.00073151,0.047606056,0.002119222,0.001098405,0.001025084,0.006168173
26-Jan-1996,0.001139368,0.055211285,0.002055621,0.001068129,0.000980967,0.00852715
29-Jan-1996,0.001026348,0.041352741,0.002046747,0.001094397,0.000981388,0.006030817
30-Jan-1996,0.001020188,0.043588474,0.001948007,0.0011027,0.000939672,0.00507283
31-Jan-1996,0.001126272,0.045695637,0.001809887,0.001177417,0.000885892,0.003712275
01-feb-96,0.001496327,0.050993271,0.001672137,0.001280114,0.000831539,0.003022809
02-feb-96,0.001469925,0.054934662,0.001584376,0.001586567,0.000782033,0.003062378
05-feb-96,0.001543567,0.054037477,0.001501184,0.001644497,0.000739563,0.005229873
06-feb-96,0.001539488,0.062124732,0.001434973,0.001652867,0.000702723,0.00407794
07-feb-96,0.001470044,0.07768821,0.001670258,0.001522311,0.000683502,0.003779987
08-feb-96,0.00214566,0.056528393,0.001541395,0.001471131,0.000652102,0.003657501
09-feb-96,0.001839043,0.048993871,0.001893568,0.001382265,0.000624892,0.003382363
12-feb-96,0.001518486,0.054636918,0.002410556,0.001294655,0.000610589,0.004511489
13-feb-96,0.001266555,0.051953063,0.002921133,0.00122933,0.000602578,0.004106476
14-feb-96,0.001133962,0.05017668,0.002670058,0.001168286,0.000583644,0.005778055
15-feb-96,0.001054991,0.058446165,0.002423266,0.001142816,0.000620783,0.010244842
16-feb-96,0.001627023,0.054314704,0.002414035,0.001164654,0.000722456,0.01434859
20-feb-96,0.001866779,0.040566581,0.002293462,0.001111111,0.00069671,0.017219319
21-feb-96,0.001694027,0.0452871,0.002098118,0.001067341,0.001186588,0.025267822
22-feb-96,0.001545936,0.035431216,0.002245157,0.001029275,0.00122549,0.016600229
23-feb-96,0.001735412,0.036256509,0.002066649,0.001170295,0.001696269,0.009959449
26-feb-96,0.001458718,0.035409036,0.002183919,0.001308409,0.00165456,0.010026553
27-feb-96,0.001316457,0.063453387,0.002035072,0.001329879,0.00152421,0.019049135
